事件编号,路径编号,车型,路径
E4,34,ev_3000,0 -> 37_1 -> 46_3 -> 27_2 -> 0
E4,35,ev_3000,0 -> 13_1 -> 69_1 -> 10_1 -> 0
E4,36,ev_3000,0 -> 63_2 -> 84_2 -> 80_1 -> 0
E4,37,fuel_3000,0 -> 42_1 -> 58_2 -> 0
E4,38,fuel_3000,0 -> 48_5 -> 4_1 -> 0
E4,39,ev_1250,0 -> 51_2 -> 0
E4,40,ev_1250,0 -> 71_1 -> 0
E4,41,fuel_3000,0 -> 92_2 -> 92_1 -> 89_1 -> 40_1 -> 0
E4,42,fuel_3000,0 -> 70_4 -> 77_2 -> 34_1 -> 0
E4,43,fuel_3000,0 -> 66_1 -> 79_2 -> 30_1 -> 0
E4,44,fuel_3000,0 -> 91_1 -> 77_1 -> 10_3 -> 0
E4,45,fuel_3000,0 -> 42_4 -> 32_1 -> 61_4 -> 0
E4,46,fuel_3000,0 -> 41_1 -> 57_2 -> 43_4 -> 27_1 -> 50_4 -> 50_2 -> 50_6 -> 50_5 -> 0
E4,47,fuel_3000,0 -> 60_4 -> 65_5 -> 0
E4,48,fuel_3000,0
E4,49,fuel_3000,0 -> 48_6 -> 55_6 -> 0
E4,50,fuel_3000,0 -> 44_4 -> 53_5 -> 0
E4,51,fuel_3000,0
E4,52,fuel_3000,0 -> 60_2 -> 54_1 -> 0
E4,53,fuel_1500,0 -> 48_1 -> 0
E4,54,fuel_1500,0 -> 47_1 -> 0
E4,55,ev_1250,0 -> 35_2 -> 0
E4,56,ev_1250,0 -> 61_5 -> 0
E4,57,ev_3000,0 -> 86_1 -> 59_4 -> 90_1 -> 95_1 -> 19_1 -> 98_1 -> 5_1 -> 0
E4,58,fuel_1500,0 -> 42_2 -> 0
E4,59,ev_3000,0 -> 8_4 -> 52_2 -> 0
E4,60,fuel_3000,0 -> 59_5 -> 93_1 -> 56_3 -> 0
E4,61,ev_1250,0 -> 29_1 -> 0
E4,62,fuel_3000,0 -> 24_1 -> 67_1 -> 0
E4,63,fuel_3000,0 -> 49_2 -> 55_9 -> 0
E4,64,fuel_3000,0 -> 55_1 -> 55_5 -> 0
E4,65,fuel_1500,0 -> 73_2 -> 0
E4,66,ev_1250,0 -> 46_1 -> 0
E4,67,ev_1250,0 -> 97_1 -> 28_1 -> 0
E4,68,fuel_1500,0 -> 8_5 -> 0
E4,69,fuel_1500,0 -> 39_1 -> 0
E4,70,fuel_1500,0 -> 65_2 -> 0
E4,71,fuel_1500,0 -> 40_2 -> 0
E4,72,fuel_1500,0 -> 48_2 -> 0
E4,73,fuel_1500,0 -> 60_6 -> 0
E4,74,ev_1250,0 -> 27_3 -> 0
E4,75,fuel_1500,0 -> 62_6 -> 0
E4,76,ev_3000,0 -> 8_6 -> 70_3 -> 0
E4,77,fuel_1250,0 -> 28_3 -> 0
E4,78,fuel_1500,0 -> 54_4 -> 0
E4,79,fuel_1500,0 -> 43_1 -> 0
E4,80,fuel_3000,0 -> 73_1 -> 8_7 -> 0
E4,81,fuel_3000,0 -> 65_4 -> 72_1 -> 0
E4,82,fuel_1500,0 -> 63_5 -> 0
E4,83,ev_1250,0 -> 69_2 -> 0
E4,84,fuel_1500,0 -> 53_2 -> 0
E4,85,fuel_3000,0 -> 66_2 -> 6_3 -> 0
E4,86,fuel_1250,0 -> 16_1 -> 35_1 -> 0
E4,87,fuel_1250,0 -> 51_1 -> 0
E4,88,fuel_1500,0 -> 6_1 -> 0
E4,89,fuel_1500,0 -> 8_3 -> 0
E4,90,fuel_3000,0 -> 57_4 -> 7_4 -> 0
E4,91,fuel_3000,0 -> 59_3 -> 55_7 -> 0
E4,92,fuel_1500,0 -> 50_3 -> 0
E4,93,ev_1250,0 -> 44_2 -> 0
E4,94,fuel_3000,0 -> 12_2 -> 31_2 -> 0
E4,95,fuel_3000,0 -> 31_1 -> 54_3 -> 0
E4,96,fuel_3000,0 -> 36_3 -> 55_8 -> 0
E4,97,fuel_3000,0 -> 64_4 -> 44_1 -> 0
E4,98,fuel_3000,0 -> 64_3 -> 75_1 -> 0
E4,99,fuel_3000,0 -> 87_1 -> 70_1 -> 10_2 -> 0
E4,100,fuel_3000,0 -> 56_2 -> 58_1 -> 0
E4,101,ev_1250,0 -> 44_3 -> 0
E4,102,fuel_1500,0 -> 47_2 -> 0
E4,103,fuel_1500,0 -> 81_1 -> 0
E4,104,fuel_1500,0 -> 57_3 -> 0
E4,105,ev_1250,0 -> 75_3 -> 0
E4,106,fuel_1500,0 -> 7_3 -> 0
E4,107,fuel_1500,0 -> 59_6 -> 0
E4,108,fuel_1500,0 -> 57_5 -> 0
E4,109,fuel_3000,0 -> 83_1 -> 55_2 -> 0
E4,110,fuel_1500,0 -> 60_7 -> 0
E4,111,fuel_3000,0 -> 38_1 -> 82_1 -> 0
E4,112,fuel_3000,0 -> 39_2 -> 31_3 -> 0
E4,113,fuel_1500,0 -> 60_3 -> 0
E4,114,fuel_3000,0 -> 64_2 -> 64_5 -> 0
E4,115,fuel_1500,0 -> 31_5 -> 0
E4,116,ev_1250,0 -> 46_2 -> 0
E4,117,ev_1250,0 -> 71_3 -> 0
E4,118,fuel_1500,0 -> 50_1 -> 0
E4,119,ev_1250,0 -> 79_1 -> 0
E4,120,fuel_1500,0 -> 53_1 -> 0
E4,121,fuel_3000,0 -> 74_1 -> 64_6 -> 0
E4,122,fuel_3000,0 -> 41_2 -> 65_3 -> 0
E4,123,fuel_3000,0 -> 74_3 -> 56_5 -> 0
E4,124,fuel_1250,0 -> 71_2 -> 0
E4,125,fuel_1500,0 -> 56_1 -> 0
E4,126,fuel_1500,0 -> 62_4 -> 0
E4,127,fuel_1500,0 -> 42_3 -> 0
E4,128,fuel_1500,0 -> 25_1 -> 0
E4,129,ev_3000,0 -> 45_3 -> 68_5 -> 0
E4,130,fuel_3000,0 -> 63_3 -> 63_4 -> 0
E4,131,fuel_1500,0 -> 65_1 -> 0
E4,132,fuel_1500,0 -> 7_2 -> 0
E4,133,fuel_1500,0 -> 11_1 -> 0
E4,134,fuel_3000,0 -> 8_1 -> 54_2 -> 0
E4,135,fuel_1500,0 -> 62_3 -> 0
E4,136,fuel_1500,0 -> 61_2 -> 0
E4,137,fuel_1500,0 -> 68_2 -> 0
E4,138,fuel_1500,0 -> 56_4 -> 0
E4,139,fuel_1500,0 -> 25_2 -> 0
E4,140,fuel_1500,0 -> 68_4 -> 0
E4,141,fuel_1500,0 -> 62_2 -> 0
